TR:mock:CellLine,TR:TCRlig,TR:CD45,TR:CD8,TR:ERKi,TR:Fosi,TR:RasGRP1i,DA:CRE,DA:AP1,DA:Nfkb,DA:NFAT,DA:Gads,DA:Rlk,DA:Ca,DA:Raf,DV:CRE,DV:AP1,DV:Nfkb,DV:NFAT,DV:Gads,DV:Rlk,DV:Ca,DV:Raf
1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,30,30,30,30,30,30,30,30,1,0.28,0.7,0.38,0.8,0.52,0.04,1
1,0,1,0,0,0,1,30,30,30,30,30,30,30,30,0,0,1,0.22,0.08,0,1,0
1,1,0,0,1,1,1,30,30,30,30,30,30,30,30,1,0,0,0,0,0.58,0,0.68
1,0,1,0,0,1,0,30,30,30,30,30,30,30,30,0.6,1,0,0.88,1,0,1,0
1,0,0,1,0,0,0,30,30,30,30,30,30,30,30,1,0.96,0.2,1,1,0.32,0,1
1,1,1,1,1,0,0,30,30,30,30,30,30,30,30,0.06,0.46,1,0.24,1,1,0.28,0.88
1,1,0,1,0,1,1,30,30,30,30,30,30,30,30,0.46,0.02,0,0,0.08,0,1,0
1,0,1,1,0,1,1,30,30,30,30,30,30,30,30,0.82,0,0.46,0.98,0.46,0,1,0
1,1,1,1,0,1,0,30,30,30,30,30,30,30,30,0.8,0.02,0.76,0,0,0,0.24,1
1,0,1,0,0,1,1,30,30,30,30,30,30,30,30,1,0,0.24,0,0.82,0.66,1,0
1,0,1,1,1,1,0,30,30,30,30,30,30,30,30,0.96,0,0.86,0.92,0,0.66,0,0
1,0,1,0,0,1,0,30,30,30,30,30,30,30,30,1,0.08,0,1,0,0.74,0,0.14
1,0,1,1,0,1,1,30,30,30,30,30,30,30,30,1,0,0,0,0.3,1,0.92,0.66
1,1,1,0,0,0,1,30,30,30,30,30,30,30,30,1,0.3,0,0.84,1,1,1,0.78
1,1,0,1,1,0,0,30,30,30,30,30,30,30,30,1,0.46,0.74,1,1,0,1,1
1,1,0,1,0,1,0,30,30,30,30,30,30,30,30,1,0,1,1,1,1,0.48,0
1,0,0,0,0,1,0,30,30,30,30,30,30,30,30,0,0,0.04,1,0,0.18,0,0
1,1,0,0,1,1,1,30,30,30,30,30,30,30,30,0.7,0.5,0.9,0.04,1,1,0.72,0.38
1,1,0,1,0,1,0,30,30,30,30,30,30,30,30,1,0.14,0,1,0,0,1,0
1,1,1,1,1,1,0,30,30,30,30,30,30,30,30,1,1,1,0,0,0.66,0,1
1,1,0,1,0,0,1,30,30,30,30,30,30,30,30,1,0.46,0,1,1,0.74,1,0
1,1,1,1,1,1,0,30,30,30,30,30,30,30,30,1,0,0,1,0.64,1,0.2,0
