experiment,time,AKT1i,APAF1i,Apoptosis_phenotypei,Apoptosome_complexi,BADi,BAD_BBC3_BCL2L11_complexi,BAXi,BCL2_MCL1_BCL2L1_complexi,BIDi,CASP3i,CASP7i,CASP8i,CASP9_celli,CASP9_cell_activei,CYCSi,Ei,FADDi,FASLGi,FAS_FASL_complexi,Mi,MAPK14i,Ni,Orf3a_celli,Orf3a_mitochondrioni,Orf3bi,Orf6i,Orf7ai,Orf8ai,Orf9bi,Si,TNFi,TNF_TNFRSF1A_complexi,TRADDi,TRADD_FADD_complexi,AKT1,APAF1,Apoptosis_phenotype,Apoptosome_complex,BAD,BAD_BBC3_BCL2L11_complex,BAX,BCL2_MCL1_BCL2L1_complex,BID,CASP3,CASP7,CASP8,CASP9_cell,CASP9_cell_active,CYCS,E,FADD,FASLG,FAS_FASL_complex,M,MAPK14,N,Orf3a_cell,Orf3a_mitochondrion,Orf3b,Orf6,Orf7a,Orf8a,Orf9b,S,TNF,TNF_TNFRSF1A_complex,TRADD,TRADD_FADD_complex
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.16243006134063587,1.0,0.0,0.044149421617793845,1.0,1.0,0.9750850946890749,0.0,1.0,0.153895064868517,0.03777649631264266,0.11389366469576619,0.06443429013602399,1.0,0.03897502161105899,1.0,0.10203275474647765,0.0,1.0,0.042452519989973,1.0,1.0,0.0,0.02248241937347085,0.0,0.0,0.09555111432106775,0.9364794695867408,1.0,0.0,0.0,1.0,1.0
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9207818660296332,0.0,0.8844414834952783,0.8337347780912268,1.0,0.1632688547397168,0.8449423399035942,1.0,1.0,1.0,0.0,0.017845283577973183,0.7017760689277646,0.1696393159792995,0.11451805316377323,0.05054275310757403,0.0391056703299478,1.0,0.0,1.0,1.0,0.0,0.0,0.1238041493571825,0.024800257834872386,0.0,0.9264707821477806,1.0,0.1065519756098,0.0,0.9238956641479739,0.0
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02546754421536764,0.056006691337942616,1.0,0.03284208342172144,1.0,1.0,1.0,0.09874125453539831,0.8892044192093949,0.995985878721807,0.8865569977390263,1.0,0.21802314236218,0.022497780750511356,0.9715299474111733,0.0,0.0,0.1075861371502832,0.017529775247435563,0.9794155586690545,0.10880537642988092,1.0,0.8769633337890997,0.0035534285516185047,0.10081167358135734,0.11942017246321074,0.08272568770405181,0.0,1.0,0.8861550706733372,0.0,0.04263452552210496,1.0,0.05728439778203581
0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.10224015017345951,1.0,0.0016413390987569856,0.9923887172352456,0.766404551742585,1.0,0.004216226310800957,0.8050795012554862,0.9744108084076022,0.9945305014454175,0.8444986469419935,0.09795855342612124,0.018415709866235017,0.7926211781620205,0.12109746356617818,0.0,0.01681340399329346,0.1937643077250985,0.9879073298051493,0.0,1.0,0.9014124582268701,0.0,0.0,0.01853327111397869,0.0,0.0,1.0,0.921990397556121,0.09815313593270715,0.0,1.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.9516296363826073,0.0,1.0,0.13400865357208633,0.0,0.08199903438658006,0.8857487571082981,0.8558779423509749,0.17327348318738905,0.9650210977842518,0.0,0.014425256363973552,0.12578150183725717,0.8546827240025507,0.9580593207175981,1.0,1.0,0.0,0.8901600280107196,1.0,1.0,0.10934096702700194,0.14745748620420512,0.976350201562741,1.0,0.0,1.0,1.0,0.0,0.057971371212290505,1.0,0.0742831797281556,0.037336933579288745,0.8429768787352709
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.011854078483709025,1.0,0.03075092094157262,0.9714715362110004,0.9335339072496756,1.0,0.0,0.0624282221994939,0.15169209926047678,0.0,0.0,0.0,0.18637645779997966,1.0,0.9819133552611108,0.0,0.0,0.0,0.9530057448246742,1.0,0.027698825490072854,0.0,1.0,1.0,0.01481145192309184,1.0,1.0,0.0,0.01948418826892383,1.0,1.0,0.07945542401219524,0.0
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.13027846955000943,0.0,0.9989663921367198,0.11409044477307387,0.9857159268900015,0.9515079801853623,1.0,0.007963428429027229,0.29393436892967223,0.005316878061745939,0.0,0.07384224965072632,0.06567758796164622,0.0,1.0,1.0,0.05337759781853277,0.0,0.18143721488271713,0.8974557901280192,1.0,0.032406098626622436,0.0,1.0,0.9396114705183617,0.07839041697552113,1.0,0.958795808850476,0.0,0.025009323936464406,0.9759649269462605,1.0,0.16954962787031724,0.16852484438014892
1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.09797404258293935,0.11928649613522234,1.0,0.0,1.0,1.0,1.0,0.13756551073117554,0.0,0.12021757746675035,0.0,0.0,0.0,0.09071488469451836,0.9095425105399717,0.9563242817966843,0.0,0.0,0.07771233193207389,0.9960481739671446,1.0,0.07941562124154733,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.15462166706846003,1.0,0.9890269779160951,0.10454378500651079,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.14374496672664486,0.8892312366813896,0.9002224538553705,0.8937058547928107,0.9900321050980712,0.17812072427121867,1.0,0.8915006280302551,0.9483041954197344,0.0,1.0,0.0,0.749169794387152,0.0,0.8229446170182375,0.9435415818796264,0.0,1.0,0.09754541929583103,0.08341644350096802,0.01614118031670508,0.002146936149701171,0.0,0.0,1.0,1.0,0.9274588418312057,1.0,0.0,0.0347750267832077
2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.9253691854510552,0.0,0.0037273094505431733,0.82256154551332,0.9791159058307488,0.09760351942503714,0.8560499333545066,0.9215657045714992,1.0,0.0,0.02305037320897889,0.005136169521903865,0.059589512191989547,1.0,0.03799268474488107,0.9882210081860135,0.01444002778836962,0.0,0.0,0.018080704759279736,0.0,0.07484868785202746,1.0,1.0,1.0,1.0,0.0,0.0
